Job Title,Job Company,Job Location,Job Date,Job Source,Job Link
Software Engineer - Ruby on Rails (m/f),XING SE,Spain Not Specified,1 day ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/software-engineer-ruby-on-rails-m-f/v8NdebWY?jlt=dDoxMCxwOjIsczoyNSxvOjg
iOS Developer,mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/ios-developer/ZGxkkgBY?jlt=dDoxMCxwOjIsczoyNSxvOjk
Principal Software Engineer,TravelPerk,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/principal-software-engineer/YlNba2wv?jlt=dDoxMCxwOjIsczoyNSxvOjEw
Android Tech Lead,mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/android-tech-lead/ZAx2aK2v?jlt=dDoxMCxwOjIsczoyNSxvOjEx
Software Quality Assurance Engineer,mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/software-quality-assurance-engineer/vOx2J0DZ?jlt=dDoxMCxwOjIsczoyNSxvOjEy
Ruby Back-end Developer,SeQura,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/ruby-back-end-developer/vO8mg7GZ?jlt=dDoxMCxwOjIsczoyNSxvOjEz
Big Data Engineer,Beabloo,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/big-data-engineer/YpK9mpEZ?jlt=dDoxMCxwOjIsczoyNSxvOjE0
Senior Java Engineer,N26,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/senior-java-engineer/Yb7erPdV?jlt=dDoxMCxwOjIsczoyNSxvOjE1
Senior Front-end Developer (React),Typeform,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/senior-front-end-developer-react/YW4mdKqV?jlt=dDoxMCxwOjIsczoyNSxvOjE2
Lead Developer (Back-end),mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/lead-developer-back-end/VQDgGmzY?jlt=dDoxMCxwOjIsczoyNSxvOjE3
Back-end Developer (Java),mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/back-end-developer-java/VLxXqN7V?jlt=dDoxMCxwOjIsczoyNSxvOjE4
Software Development Engineer in Test (Mobile),mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/software-development-engineer-in-test-mobile/Y5RLrN0V?jlt=dDoxMCxwOjIsczoyNSxvOjE5
Software Development Engineer in Test (Back-end),mytaxi,Spain Not Specified,2 days ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/software-development-engineer-in-test-back-end/YpBX7xjv?jlt=dDoxMCxwOjIsczoyNSxvOjIw
Social Media Manager (temporal),Randstad,"Barcelona, Barcelona provincia, Spain",1 day ago,,http://www.jobsinbarcelona.es/jobs/remote/aHR0cDovL3d3dy5pbmRlZWQuZXMvcGFnZWFkL2Nsaz9tbz1yJmFkPS02TllsYmZrTjBBdzFlZkFNemxkRHpwb0lKdDNkaC1XczQzUzMwZHJYUTZqRlFxa0lpc191NlJ2Z0tHRUZyNkdFUjhqRVZ6WWJHRE9lZUpseXdOS1VUWm1sUTNEd0prYmZpb2hNb3FBZXJvNVJUSzNYcG9rU09kaTI1bzNrOC0xb3VqaWxZUHd4ZF9YdzJwQkdOWVp4WEJjdXpERnZYRmh3Y1A3eUJlX3BHNGRoR0FoTU93NkVRcnJPRGsyQVdBcWloRHJ0b1ZGWWNSX2Z0dFFSZXdlbEN6QkpDUEttb01obG5uQ2hmRXZkdGtNTXAwaTVQdEVGa2RJTDZ0REY0SGlWSGtjWDVMVVVFM3FuejBtbVExV3lSUjgtWDJ6eW80N1JQV1AxcGx6LUM1Sk9ESVRSMWVmcHVRY3RVWmpURVQ2c3owNU4yNEx3MXBvVWNPbzNmQjFKdUdIY2lDYnhRZnUzRGpOOWlwTzFtc2dkZ2l4cFNRekFUS0N5Mzd5UUNqaE1wOFhFMDdvXzRvNWNRVmJYcW1EMXlYMXZlWXBJWS1ZM2dqRnZ6QjRUQ3U4N0NRcVZqRWFCNXZFbVE3TVN2OEpYUEs4UHA5ZVROWjgzMGhXbmc2cE9KM1MzNUdJTFYyaDl5MlBCd0xQNU9UdHpjSzQ4UTFCM2t4UEtMdW0yWERHVkNFMG9KRDFsWnRSaWZqa0VpU1dGS0dPRFdzSWV1d0R0MElnaTRqTVFPQU9hRkpSSk9rcEV0VEVNc01IQzQwYVpWekhLYTN6SmduRWtOSi0yelEtakthV0RDVno2TUZGMHZ6YUlqZmdQcm0wODJrT1o3aEJhQ1gtVXprYWVyQTdla0cySU1hLTRHeWNVa1gwYnhsOVIxckN4SE5IUFAzMWxGUzRUZnNYTW90OFY0ZlBnN3RMTldSekVjY1ZLbW5BTTJoWkJyYzJBUG0yNm5zLXJVdlJzckdIZ3VDRkpMZ0lkRm1QR0NKVTRWelNQVUZEQk9rYWI3eDdrX3FPamNTRnBYMDdzMUZKRGQyamFRbm9OanZ1QTNjUHV2MkFkYW5QXzMxRVhfTTZDbmp0VWNITjdxLWd3Q1FxN0JiNDNST3ZSZ00tUndhbDJGbFFhbzZUdzlEX3ZBZGlIMi1lNkNFQS1BODFiSWY0cWlTc0h6eWx5UUhMLTRqSkdKNTg2VkZuQ3JQTHhSR3ZpSC1JdDRhd1BIVTVKUT09JnA9MCZyanM9MSZhdGs9MWNyZGg1M2ZwZzE1NDgwMCZqc2E9ODI2NCZpbmNoYWw9YXBpcmVzdWx0cyZ0aXRsZT1Tb2NpYWwrTWVkaWErTWFuYWdlcislMjh0ZW1wb3JhbCUyOSZqaXBpZD03?source=indeed&jk=00442e8932c928fc&jlt=dDoxMCxwOjIsczoyNSxvOjIx
