Course Title,Course Description,Course Author,Course Author Occupation,Course URL
Manipulating Time Series Data in Python,In this course you'll learn the basics of working with time series data.,Stefan Jansen,Founder & Lead Data Scientist at Applied Artificial Intelligence,https://www.datacamp.com/courses/manipulating-time-series-data-in-python
Introduction to Time Series Analysis in Python,In this course you'll learn the basics of analyzing time series data.,Rob Reider,Consultant at Quantopian and Adjunct Professor at NYU,https://www.datacamp.com/courses/introduction-to-time-series-analysis-in-python
Parallel Computing with Dask,Learn how to take the Python workflows you currently have and easily scale them up to large datasets without the need...,Team Anaconda,Data Science Training,https://www.datacamp.com/courses/parallel-computing-with-dask
Introduction to PySpark,Learn to implement distributed data management and machine learning in Spark using the PySpark package.,Lore Dirick,Senior Data Science Curriculum Writer at Flatiron School,https://www.datacamp.com/courses/introduction-to-pyspark
Case Studies in Statistical Thinking,Take vital steps towards mastery as you apply your statistical thinking skills to real-world data sets and extract ac...,Justin Bois,Lecturer at the California Institute of Technology,https://www.datacamp.com/courses/case-studies-in-statistical-thinking
Visualizing Time Series Data in Python,"Visualize seasonality, trends and other patterns in your time series data.",Thomas Vincent,Head of Data Science at Getty Images,https://www.datacamp.com/courses/visualizing-time-series-data-in-python
Python for R Users,This course is for R users who want to get up to speed with Python!,Daniel Chen,Data Science Consultant at Lander Analytics,https://www.datacamp.com/courses/python-for-r-users
Intro to Financial Concepts using Python,"Using Python and NumPy, learn the most fundamental financial concepts.",Dakota Wixom,Quantitative Analyst and Founder of QuantCourse.com,https://www.datacamp.com/courses/intro-to-financial-concepts-using-python
Intro to Portfolio Risk Management in Python,"Evaluate portfolio risk and returns, construct market-cap weighted equity portfolios and learn how to forecast and he...",Dakota Wixom,Quantitative Analyst and Founder of QuantCourse.com,https://www.datacamp.com/courses/intro-to-portfolio-risk-management-in-python
String Manipulation in R with stringr,"Learn how to pull character strings apart, put them back together and use the stringr package.",Charlotte Wickham,Assistant Professor at Oregon State University,https://www.datacamp.com/courses/string-manipulation-in-r-with-stringr
Writing Efficient R Code,"Learn to write faster R code, discover benchmarking and profiling, and unlock the secrets of parallel programming.",Colin Gillespie,"Assoc Prof at Newcastle University, Consultant at Jumping Rivers",https://www.datacamp.com/courses/writing-efficient-r-code
Forecasting Using R,Learn how to make predictions about the future using time series forecasting in R.,Rob J. Hyndman,Professor of Statistics at Monash University,https://www.datacamp.com/courses/forecasting-using-r
Machine Learning with Tree-Based Models in R,"In this course, you'll learn how to use tree-based models and ensembles for regression and classification.",Gabriela de Queiroz,Data Scientist and founder of R-Ladies,https://www.datacamp.com/courses/machine-learning-with-tree-based-models-in-r
Working with Web Data in R,Learn how to efficiently import data from the web into R.,Charlotte Wickham,Assistant Professor at Oregon State University,https://www.datacamp.com/courses/working-with-web-data-in-r
Quantitative Risk Management in R,"Work with risk-factor return series, study their empirical properties, and make estimates of value-at-risk.",Alexander J. McNeil,Professor of Actuarial Science at the University of York.,https://www.datacamp.com/courses/quantitative-risk-management-in-r
Spatial Statistics in R,Learn how to make sense of spatial data and deal with various classes of statistical problems associated with it.,Barry Rowlingson,Research Fellow at Lancaster University,https://www.datacamp.com/courses/spatial-statistics-in-r
Data Visualization in R with lattice,Learn to visualize multivariate datasets using lattice graphics.,Deepayan Sarkar,Member of R-Core & the creator of lattice,https://www.datacamp.com/courses/data-visualization-in-r-with-lattice
Introduction to Spark in R using sparklyr,Learn how to analyze huge datasets using Apache Spark and R using the sparklyr package.,Richie Cotton,Head of Content Quality at DataCamp,https://www.datacamp.com/courses/introduction-to-spark-in-r-using-sparklyr
